Row,Year,Type,AL,Totals,"Children, armed, or not in labor force",Employed,Unemployed
925,2005,"Some college, less than 4-yr degree",OK,251,534,16,
926,2005,"Some college, less than 4-yr degree",OR,265,570,32,
927,2005,"Some college, less than 4-yr degree",PA,504,"1,261",59,
928,2005,"Some college, less than 4-yr degree",RI,51,140,9,
929,2005,"Some college, less than 4-yr degree",SC,259,531,26,
930,2005,"Some college, less than 4-yr degree",SD,43,130,3,
931,2005,"Some college, less than 4-yr degree",TN,329,753,47,
932,2005,"Some college, less than 4-yr degree",TX,"1,265","2,950",161,
933,2005,"Some college, less than 4-yr degree",UT,155,455,17,
934,2005,"Some college, less than 4-yr degree",VT,32,84,2,
935,2005,"Some college, less than 4-yr degree",VA,399,997,35,
936,2005,"Some college, less than 4-yr degree",WA,460,"1,047",44,
937,2005,"Some college, less than 4-yr degree",WV,109,206,9,
938,2005,"Some college, less than 4-yr degree",WI,341,827,29,
939,2005,"Some college, less than 4-yr degree",WY,31,98,3,
940,2005,Bachelor's degree or higher,Totals,"54,745","12,304","41,398","1,044"
941,2005,Bachelor's degree or higher,AL,145,457,9,
943,2005,Bachelor's degree or higher,AK,22,92,2,
944,2005,Bachelor's degree or higher,AZ,318,735,20,
945,2005,Bachelor's degree or higher,AR,61,265,5,
946,2005,Bachelor's degree or higher,CA,"1,811","5,285",125,
947,2005,Bachelor's degree or higher,CO,214,829,34,
948,2005,Bachelor's degree or higher,CT,207,675,14,
949,2005,Bachelor's degree or higher,DE,35,114,1,
950,2005,Bachelor's degree or higher,DC,36,152,4,
951,2005,Bachelor's degree or higher,FL,950,"2,155",39,
952,2005,Bachelor's degree or higher,GA,291,"1,228",35,
953,2005,Bachelor's degree or higher,HI,67,198,3,
954,2005,Bachelor's degree or higher,ID,51,176,2,
955,2005,Bachelor's degree or higher,IL,511,"1,961",44,
956,2005,Bachelor's degree or higher,IN,165,757,15,
957,2005,Bachelor's degree or higher,IA,90,414,5,
958,2005,Bachelor's degree or higher,KS,97,439,11,
959,2005,Bachelor's degree or higher,KY,110,405,13,
960,2005,Bachelor's degree or higher,LA,134,443,11,
961,2005,Bachelor's degree or higher,ME,50,172,3,
962,2005,Bachelor's degree or higher,MD,297,"1,109",21,
963,2005,Bachelor's degree or higher,MA,326,"1,264",43,
964,2005,Bachelor's degree or higher,MI,343,"1,295",52,
965,2005,Bachelor's degree or higher,MN,233,948,16,
966,2005,Bachelor's degree or higher,MS,87,336,8,
967,2005,Bachelor's degree or higher,MO,186,753,26,
968,2005,Bachelor's degree or higher,MT,35,123,1,
969,2005,Bachelor's degree or higher,NE,43,253,3,
970,2005,Bachelor's degree or higher,NV,81,286,9,
971,2005,Bachelor's degree or higher,NH,53,232,7,
972,2005,Bachelor's degree or higher,NJ,422,"1,706",39,
973,2005,Bachelor's degree or higher,NM,79,258,4,
974,2005,Bachelor's degree or higher,NY,965,"2,989",87,
975,2005,Bachelor's degree or higher,NC,389,"1,002",31,
976,2005,Bachelor's degree or higher,ND,17,99,1,
977,2005,Bachelor's degree or higher,OH,393,"1,357",45,
978,2005,Bachelor's degree or higher,OK,110,437,8,
979,2005,Bachelor's degree or higher,OR,183,511,25,
980,2005,Bachelor's degree or higher,PA,438,"1,752",38,
981,2005,Bachelor's degree or higher,RI,43,165,1,
982,2005,Bachelor's degree or higher,SC,164,508,13,
983,2005,Bachelor's degree or higher,SD,19,104,1,
984,2005,Bachelor's degree or higher,TN,222,642,17,
985,2005,Bachelor's degree or higher,TX,761,"2,802",90,
986,2005,Bachelor's degree or higher,UT,83,313,6,
987,2005,Bachelor's degree or higher,VT,28,125,2,
988,2005,Bachelor's degree or higher,VA,355,"1,201",11,
989,2005,Bachelor's degree or higher,WA,313,954,26,
990,2005,Bachelor's degree or higher,WV,41,148,4,
991,2005,Bachelor's degree or higher,WI,215,714,13,
992,2005,Bachelor's degree or higher,WY,16,59,1,
1009,2006,Totals,Totals,"293,834","143,832","142,398","7,604"
1010,2006,Totals,AL,"2,388","2,050",86,
1012,2006,Totals,AK,315,312,31,
1013,2006,Totals,AZ,"3,098","2,824",125,
1014,2006,Totals,AR,"1,376","1,304",80,
1015,2006,Totals,CA,"18,319","16,685",935,
1016,2006,Totals,CO,"2,065","2,454",121,
1017,2006,Totals,CT,"1,612","1,788",88,
1018,2006,Totals,DE,399,430,16,
1019,2006,Totals,DC,248,272,20,
1020,2006,Totals,FL,"8,888","8,720",278,
1021,2006,Totals,GA,"4,380","4,472",193,
1022,2006,Totals,HI,635,624,20,
1023,2006,Totals,ID,683,725,34,
1024,2006,Totals,IL,"6,226","6,021",361,
1025,2006,Totals,IN,"2,913","3,042",186,
1026,2006,Totals,IA,"1,247","1,600",62,
1027,2006,Totals,KS,"1,246","1,371",78,
1028,2006,Totals,KY,"2,040","1,889",123,
1029,2006,Totals,LA,"2,221","1,745",123,
1030,2006,Totals,ME,604,684,32,
1031,2006,Totals,MD,"2,580","2,879",109,
1032,2006,Totals,MA,"3,060","3,078",190,
1033,2006,Totals,MI,"4,934","4,653",395,
1034,2006,Totals,MN,"2,206","2,781",143,
1035,2006,Totals,MS,"1,559","1,216",79,
1036,2006,Totals,MO,"2,589","2,966",155,
1037,2006,Totals,MT,440,466,22,
1038,2006,Totals,NE,768,964,34,
1039,2006,Totals,NV,"1,228","1,169",51,
1040,2006,Totals,NH,560,712,29,
1041,2006,Totals,NJ,"4,087","4,377",262,
1042,2006,Totals,NM,989,922,27,
1043,2006,Totals,NY,"9,637","8,891",494,
1044,2006,Totals,NC,"4,286","4,055",220,
1045,2006,Totals,ND,255,354,18,
1046,2006,Totals,OH,"5,366","5,656",312,
1047,2006,Totals,OK,"1,769","1,657",78,
1048,2006,Totals,OR,"1,767","1,750",111,
1049,2006,Totals,PA,"5,938","5,994",348,
1050,2006,Totals,RI,480,537,37,
1051,2006,Totals,SC,"2,085","1,950",145,
1052,2006,Totals,SD,334,419,15,
1053,2006,Totals,TN,"2,930","2,745",192,
1054,2006,Totals,TX,"11,618","10,613",588,
1055,2006,Totals,UT,"1,175","1,306",42,
1056,2006,Totals,VT,261,345,16,
1057,2006,Totals,VA,"3,479","3,832",143,
1058,2006,Totals,WA,"2,919","3,188",144,
1059,2006,Totals,WV,975,783,42,
1060,2006,Totals,WI,"2,438","2,850",159,
1061,2006,Totals,WY,221,280,10,
1062,2006,Children under 15,Totals,"60,641","60,641",.,.
1064,2006,Children under 15,AL,902,.,.,
1066,2006,Children under 15,AK,155,.,.,
1067,2006,Children under 15,AZ,"1,337",.,.,
1068,2006,Children under 15,AR,555,.,.,
1069,2006,Children under 15,CA,"8,096",.,.,
1070,2006,Children under 15,CO,985,.,.,
1071,2006,Children under 15,CT,668,.,.,
1072,2006,Children under 15,DE,165,.,.,
1073,2006,Children under 15,DC,93,.,.,
1074,2006,Children under 15,FL,"3,373",.,.,
1075,2006,Children under 15,GA,"1,984",.,.,
1076,2006,Children under 15,HI,257,.,.,
1077,2006,Children under 15,ID,315,.,.,
1078,2006,Children under 15,IL,"2,658",.,.,
1079,2006,Children under 15,IN,"1,305",.,.,
1080,2006,Children under 15,IA,550,.,.,
1081,2006,Children under 15,KS,564,.,.,
1082,2006,Children under 15,KY,815,.,.,
1083,2006,Children under 15,LA,878,.,.,
1084,2006,Children under 15,ME,219,.,.,
1085,2006,Children under 15,MD,"1,132",.,.,
1086,2006,Children under 15,MA,"1,186",.,.,
1087,2006,Children under 15,MI,"2,067",.,.,
1088,2006,Children under 15,MN,"1,003",.,.,
1089,2006,Children under 15,MS,599,.,.,
1090,2006,Children under 15,MO,"1,125",.,.,
1091,2006,Children under 15,MT,167,.,.,
1092,2006,Children under 15,NE,359,.,.,
1093,2006,Children under 15,NV,513,.,.,
1094,2006,Children under 15,NH,245,.,.,
1095,2006,Children under 15,NJ,"1,753",.,.,
1096,2006,Children under 15,NM,408,.,.,
1097,2006,Children under 15,NY,"3,702",.,.,
1098,2006,Children under 15,NC,"1,784",.,.,
1099,2006,Children under 15,ND,114,.,.,
1100,2006,Children under 15,OH,"2,261",.,.,
1101,2006,Children under 15,OK,711,.,.,
1102,2006,Children under 15,OR,700,.,.,
1103,2006,Children under 15,PA,"2,295",.,.,
1104,2006,Children under 15,RI,196,.,.,
1105,2006,Children under 15,SC,853,.,.,
1106,2006,Children under 15,SD,155,.,.,
1107,2006,Children under 15,TN,"1,135",.,.,
1108,2006,Children under 15,TX,"5,380",.,.,
1109,2006,Children under 15,UT,643,.,.,
1110,2006,Children under 15,VT,103,.,.,
1111,2006,Children under 15,VA,"1,506",.,.,
1112,2006,Children under 15,WA,"1,209",.,.,
1113,2006,Children under 15,WV,312,.,.,
1114,2006,Children under 15,WI,"1,054",.,.,
1115,2006,Children under 15,WY,94,.,.,
1116,2006,No high school diploma,Totals,"46,962","27,934","16,823","2,205"
1117,2006,No high school diploma,AL,523,276,20,
1119,2006,No high school diploma,AK,48,24,6,
1120,2006,No high school diploma,AZ,632,422,35,
1121,2006,No high school diploma,AR,311,149,17,
1122,2006,No high school diploma,CA,"3,693","2,605",318,
1123,2006,No high school diploma,CO,322,245,39,
1124,2006,No high school diploma,CT,291,159,30,
1125,2006,No high school diploma,DE,71,52,4,
1126,2006,No high school diploma,DC,54,31,8,
1127,2006,No high school diploma,FL,"1,498","1,051",85,
1128,2006,No high school diploma,GA,847,616,57,
1129,2006,No high school diploma,HI,106,46,4,
1130,2006,No high school diploma,ID,120,79,10,
1131,2006,No high school diploma,IL,"1,155",618,98,
1132,2006,No high school diploma,IN,552,305,67,
1133,2006,No high school diploma,IA,188,159,17,
1134,2006,No high school diploma,KS,181,132,25,
1135,2006,No high school diploma,KY,537,218,36,
1136,2006,No high school diploma,LA,496,281,52,
1137,2006,No high school diploma,ME,120,55,7,
1138,2006,No high school diploma,MD,462,319,31,
1139,2006,No high school diploma,MA,503,292,28,
1140,2006,No high school diploma,MI,848,357,119,
1141,2006,No high school diploma,MN,313,205,29,
1142,2006,No high school diploma,MS,395,155,23,
1143,2006,No high school diploma,MO,500,316,48,
1144,2006,No high school diploma,MT,68,42,7,
1145,2006,No high school diploma,NE,112,82,8,
1146,2006,No high school diploma,NV,219,193,12,
1147,2006,No high school diploma,NH,88,53,5,
1148,2006,No high school diploma,NJ,786,464,70,
1149,2006,No high school diploma,NM,207,144,7,
1150,2006,No high school diploma,NY,"2,028",956,154,
1151,2006,No high school diploma,NC,889,520,86,
1152,2006,No high school diploma,ND,50,32,6,
1153,2006,No high school diploma,OH,"1,002",508,75,
1154,2006,No high school diploma,OK,319,152,22,
1155,2006,No high school diploma,OR,300,154,22,
1156,2006,No high school diploma,PA,"1,132",566,85,
1157,2006,No high school diploma,RI,108,65,12,
1158,2006,No high school diploma,SC,452,238,45,
1159,2006,No high school diploma,SD,54,40,4,
1160,2006,No high school diploma,TN,725,373,48,
1161,2006,No high school diploma,TX,"2,623","1,870",179,
1162,2006,No high school diploma,UT,148,146,12,
1163,2006,No high school diploma,VT,48,25,4,
1164,2006,No high school diploma,VA,629,428,47,
1165,2006,No high school diploma,WA,498,274,31,
1166,2006,No high school diploma,WV,259,69,14,
1167,2006,No high school diploma,WI,390,241,34,
1168,2006,No high school diploma,WY,37,24,3,
1169,2006,High school or equivalent,Totals,"69,548","25,176","41,866","2,506"
1170,2006,High school or equivalent,AL,490,728,41,
1172,2006,High school or equivalent,AK,43,85,14,
1173,2006,High school or equivalent,AZ,479,796,17,
1174,2006,High school or equivalent,AR,282,496,32,
1175,2006,High school or equivalent,CA,"2,500","3,749",253,
1176,2006,High school or equivalent,CO,246,622,33,
1177,2006,High school or equivalent,CT,257,500,23,
1178,2006,High school or equivalent,DE,81,143,5,
1179,2006,High school or equivalent,DC,38,40,5,
1180,2006,High school or equivalent,FL,"1,774","2,579",96,
1181,2006,High school or equivalent,GA,738,"1,374",71,
1182,2006,High school or equivalent,HI,113,176,10,
1183,2006,High school or equivalent,ID,104,210,10,
1184,2006,High school or equivalent,IL,"1,021","1,622",104,
1185,2006,High school or equivalent,IN,597,"1,083",77,
1186,2006,High school or equivalent,IA,281,501,21,
1187,2006,High school or equivalent,KS,195,359,24,
1188,2006,High school or equivalent,KY,374,684,52,
1189,2006,High school or equivalent,LA,446,589,48,
1190,2006,High school or equivalent,ME,133,223,14,
1191,2006,High school or equivalent,MD,432,794,35,
1192,2006,High school or equivalent,MA,571,797,47,
1193,2006,High school or equivalent,MI,"1,025","1,412",132,
1194,2006,High school or equivalent,MN,345,678,53,
1195,2006,High school or equivalent,MS,287,399,28,
1196,2006,High school or equivalent,MO,509,980,42,
1197,2006,High school or equivalent,MT,95,150,5,
1198,2006,High school or equivalent,NE,135,311,16,
1199,2006,High school or equivalent,NV,227,397,21,
1200,2006,High school or equivalent,NH,100,212,9,
1201,2006,High school or equivalent,NJ,725,"1,271",84,
1202,2006,High school or equivalent,NM,141,255,6,
1203,2006,High school or equivalent,NY,"1,851","2,531",168,
1204,2006,High school or equivalent,NC,698,"1,205",66,
1205,2006,High school or equivalent,ND,40,91,4,
1206,2006,High school or equivalent,OH,"1,144","2,064",133,
1207,2006,High school or equivalent,OK,393,548,24,
1208,2006,High school or equivalent,OR,304,468,33,
1209,2006,High school or equivalent,PA,"1,415","2,250",118,
1210,2006,High school or equivalent,RI,75,151,10,
1211,2006,High school or equivalent,SC,347,675,52,
1212,2006,High school or equivalent,SD,60,132,7,
1213,2006,High school or equivalent,TN,547,874,66,
1214,2006,High school or equivalent,TX,"1,506","2,860",183,
1215,2006,High school or equivalent,UT,157,362,17,
1216,2006,High school or equivalent,VT,49,111,7,
1217,2006,High school or equivalent,VA,563,"1,128",53,
1218,2006,High school or equivalent,WA,426,767,43,
1219,2006,High school or equivalent,WV,257,347,18,
1220,2006,High school or equivalent,WI,515,997,74,
1221,2006,High school or equivalent,WY,47,91,3,
1222,2006,"Some college, less than 4-yr degree",Totals,"60,615","17,484","41,256","1,875"
1223,2006,"Some college, less than 4-yr degree",AL,301,575,12,
1225,2006,"Some college, less than 4-yr degree",AK,41,118,9,
1226,2006,"Some college, less than 4-yr degree",AZ,364,945,52,
1227,2006,"Some college, less than 4-yr degree",AR,150,391,18,
1228,2006,"Some college, less than 4-yr degree",CA,"2,375","5,102",210,
1229,2006,"Some college, less than 4-yr degree",CO,280,705,27,
1230,2006,"Some college, less than 4-yr degree",CT,192,443,20,
1231,2006,"Some college, less than 4-yr degree",DE,42,120,5,
1232,2006,"Some college, less than 4-yr degree",DC,25,42,3,
1233,2006,"Some college, less than 4-yr degree",FL,"1,308","2,622",51,
1234,2006,"Some college, less than 4-yr degree",GA,473,"1,139",47,
1235,2006,"Some college, less than 4-yr degree",HI,90,184,4,
1236,2006,"Some college, less than 4-yr degree",ID,92,254,10,
1237,2006,"Some college, less than 4-yr degree",IL,828,"1,733",101,
1238,2006,"Some college, less than 4-yr degree",IN,302,938,27,
1239,2006,"Some college, less than 4-yr degree",IA,152,511,12,
1240,2006,"Some college, less than 4-yr degree",KS,182,438,20,
1241,2006,"Some college, less than 4-yr degree",KY,218,537,26,
1242,2006,"Some college, less than 4-yr degree",LA,279,430,15,
1243,2006,"Some college, less than 4-yr degree",ME,79,213,7,
1244,2006,"Some college, less than 4-yr degree",MD,261,713,22,
1245,2006,"Some college, less than 4-yr degree",MA,384,671,69,
1246,2006,"Some college, less than 4-yr degree",MI,650,"1,496",104,
1247,2006,"Some college, less than 4-yr degree",MN,316,964,43,
1248,2006,"Some college, less than 4-yr degree",MS,173,383,20,
1249,2006,"Some college, less than 4-yr degree",MO,272,906,49,
1250,2006,"Some college, less than 4-yr degree",MT,70,152,8,
1251,2006,"Some college, less than 4-yr degree",NE,99,290,10,
1252,2006,"Some college, less than 4-yr degree",NV,170,345,12,
1253,2006,"Some college, less than 4-yr degree",NH,71,208,9,
1254,2006,"Some college, less than 4-yr degree",NJ,369,"1,004",57,
1255,2006,"Some college, less than 4-yr degree",NM,144,273,9,
1256,2006,"Some college, less than 4-yr degree",NY,"1,044","2,188",105,
1257,2006,"Some college, less than 4-yr degree",NC,528,"1,225",58,
1258,2006,"Some college, less than 4-yr degree",ND,34,126,5,
1259,2006,"Some college, less than 4-yr degree",OH,559,"1,683",74,
1260,2006,"Some college, less than 4-yr degree",OK,226,546,27,
1261,2006,"Some college, less than 4-yr degree",OR,280,620,44,
1262,2006,"Some college, less than 4-yr degree",PA,608,"1,387",82,
1263,2006,"Some college, less than 4-yr degree",RI,55,146,8,
1264,2006,"Some college, less than 4-yr degree",SC,275,564,35,
1265,2006,"Some college, less than 4-yr degree",SD,42,137,3,
1266,2006,"Some college, less than 4-yr degree",TN,328,821,61,
1267,2006,"Some college, less than 4-yr degree",TX,"1,237","3,094",161,
1268,2006,"Some college, less than 4-yr degree",UT,145,487,12,
1269,2006,"Some college, less than 4-yr degree",VT,34,88,2,
1270,2006,"Some college, less than 4-yr degree",VA,459,946,26,
1271,2006,"Some college, less than 4-yr degree",WA,459,"1,156",43,
1272,2006,"Some college, less than 4-yr degree",WV,100,205,9,
1273,2006,"Some college, less than 4-yr degree",WI,286,888,28,
1274,2006,"Some college, less than 4-yr degree",WY,32,104,4,
1275,2006,Bachelor's degree or higher,Totals,"56,069","12,598","42,454","1,017"
1276,2006,Bachelor's degree or higher,AL,171,472,13,
1278,2006,Bachelor's degree or higher,AK,28,86,2,
1279,2006,Bachelor's degree or higher,AZ,286,662,20,
1280,2006,Bachelor's degree or higher,AR,78,268,13,
1281,2006,Bachelor's degree or higher,CA,"1,654","5,229",154,
1282,2006,Bachelor's degree or higher,CO,234,882,22,
1283,2006,Bachelor's degree or higher,CT,203,685,14,
1284,2006,Bachelor's degree or higher,DE,39,115,2,
1285,2006,Bachelor's degree or higher,DC,38,159,4,
1286,2006,Bachelor's degree or higher,FL,935,"2,468",45,
1287,2006,Bachelor's degree or higher,GA,337,"1,344",18,
1288,2006,Bachelor's degree or higher,HI,68,218,2,
1289,2006,Bachelor's degree or higher,ID,51,183,4,
1290,2006,Bachelor's degree or higher,IL,564,"2,048",58,
1291,2006,Bachelor's degree or higher,IN,157,717,15,
1292,2006,Bachelor's degree or higher,IA,75,428,13,
1293,2006,Bachelor's degree or higher,KS,124,442,10,
1294,2006,Bachelor's degree or higher,KY,96,450,10,
1295,2006,Bachelor's degree or higher,LA,122,444,7,
1296,2006,Bachelor's degree or higher,ME,54,194,4,
1297,2006,Bachelor's degree or higher,MD,293,"1,052",21,
1298,2006,Bachelor's degree or higher,MA,416,"1,317",46,
1299,2006,Bachelor's degree or higher,MI,344,"1,388",41,
1300,2006,Bachelor's degree or higher,MN,228,934,18,
1301,2006,Bachelor's degree or higher,MS,105,278,8,
1302,2006,Bachelor's degree or higher,MO,183,764,15,
1303,2006,Bachelor's degree or higher,MT,39,122,2,
1304,2006,Bachelor's degree or higher,NE,64,281,1,
1305,2006,Bachelor's degree or higher,NV,99,234,7,
1306,2006,Bachelor's degree or higher,NH,56,238,5,
1307,2006,Bachelor's degree or higher,NJ,454,"1,638",51,
1308,2006,Bachelor's degree or higher,NM,88,250,5,
1309,2006,Bachelor's degree or higher,NY,"1,012","3,217",67,
1310,2006,Bachelor's degree or higher,NC,387,"1,104",11,
1311,2006,Bachelor's degree or higher,ND,17,105,3,
1312,2006,Bachelor's degree or higher,OH,400,"1,402",30,
1313,2006,Bachelor's degree or higher,OK,120,412,5,
1314,2006,Bachelor's degree or higher,OR,182,508,12,
1315,2006,Bachelor's degree or higher,PA,489,"1,792",64,
1316,2006,Bachelor's degree or higher,RI,46,175,7,
1317,2006,Bachelor's degree or higher,SC,159,472,12,
1318,2006,Bachelor's degree or higher,SD,23,110,1,
1319,2006,Bachelor's degree or higher,TN,195,678,17,
1320,2006,Bachelor's degree or higher,TX,873,"2,789",66,
1321,2006,Bachelor's degree or higher,UT,82,312,.,
1322,2006,Bachelor's degree or higher,VT,26,121,2,
1323,2006,Bachelor's degree or higher,VA,323,"1,330",17,
1324,2006,Bachelor's degree or higher,WA,327,991,27,
1325,2006,Bachelor's degree or higher,WV,47,161,1,
1326,2006,Bachelor's degree or higher,WI,193,724,24,
1327,2006,Bachelor's degree or higher,WY,12,61,1,
1344,2007,Totals,Totals,"296,824","144,214","145,347","7,264"
1345,2007,Totals,AL,"2,372","2,069",91,
1347,2007,Totals,AK,322,316,21,
1348,2007,Totals,AZ,"3,250","2,903",116,
1349,2007,Totals,AR,"1,353","1,327",77,
1350,2007,Totals,CA,"17,986","17,244",977,
1351,2007,Totals,CO,"2,135","2,561",107,
1352,2007,Totals,CT,"1,584","1,798",81,
1353,2007,Totals,DE,417,425,19,
1354,2007,Totals,DC,251,302,16,
1355,2007,Totals,FL,"8,743","8,975",343,
1356,2007,Totals,GA,"4,496","4,668",182,
1357,2007,Totals,HI,606,628,21,
1358,2007,Totals,ID,720,728,27,
1359,2007,Totals,IL,"6,139","6,192",313,
1360,2007,Totals,IN,"3,021","3,139",177,
1361,2007,Totals,IA,"1,279","1,578",63,
1362,2007,Totals,KS,"1,257","1,401",65,
1363,2007,Totals,KY,"2,070","1,909",127,
1364,2007,Totals,LA,"2,226","1,886",100,
1365,2007,Totals,ME,604,674,37,
1366,2007,Totals,MD,"2,603","2,896",113,
1367,2007,Totals,MA,"3,020","3,174",141,
1368,2007,Totals,MI,"4,909","4,683",379,
1369,2007,Totals,MN,"2,254","2,758",137,
1370,2007,Totals,MS,"1,521","1,267",104,
1371,2007,Totals,MO,"2,737","2,900",163,
1372,2007,Totals,MT,415,505,12,
1373,2007,Totals,NE,766,965,35,
1374,2007,Totals,NV,"1,217","1,253",64,
1375,2007,Totals,NH,556,719,34,
1376,2007,Totals,NJ,"4,091","4,322",247,
1377,2007,Totals,NM,"1,021",880,42,
1378,2007,Totals,NY,"9,620","8,995",424,
1379,2007,Totals,NC,"4,250","4,370",231,
1380,2007,Totals,ND,250,351,16,
1381,2007,Totals,OH,"5,377","5,586",356,
1382,2007,Totals,OK,"1,741","1,665",87,
1383,2007,Totals,OR,"1,771","1,833",112,
1384,2007,Totals,PA,"6,058","6,053",234,
1385,2007,Totals,RI,473,555,26,
1386,2007,Totals,SC,"2,102","1,992",131,
1387,2007,Totals,SD,328,425,17,
1388,2007,Totals,TN,"2,901","2,859",160,
1389,2007,Totals,TX,"11,852","10,906",479,
1390,2007,Totals,UT,"1,235","1,265",36,
1391,2007,Totals,VT,257,346,17,
1392,2007,Totals,VA,"3,460","3,933",145,
1393,2007,Totals,WA,"2,965","3,202",151,
1394,2007,Totals,WV,993,778,43,
1395,2007,Totals,WI,"2,419","2,899",158,
1396,2007,Totals,WY,219,285,12,
1397,2007,Children under 15,Totals,"60,804","60,804",.,.
1399,2007,Children under 15,AL,909,.,.,
1401,2007,Children under 15,AK,147,.,.,
1402,2007,Children under 15,AZ,"1,407",.,.,
1403,2007,Children under 15,AR,571,.,.,
1404,2007,Children under 15,CA,"7,869",.,.,
1405,2007,Children under 15,CO,979,.,.,
1406,2007,Children under 15,CT,671,.,.,
1407,2007,Children under 15,DE,167,.,.,
1408,2007,Children under 15,DC,92,.,.,
1409,2007,Children under 15,FL,"3,333",.,.,
1410,2007,Children under 15,GA,"2,063",.,.,
1411,2007,Children under 15,HI,247,.,.,
1412,2007,Children under 15,ID,334,.,.,
1413,2007,Children under 15,IL,"2,667",.,.,
1414,2007,Children under 15,IN,"1,283",.,.,
1415,2007,Children under 15,IA,584,.,.,
1416,2007,Children under 15,KS,577,.,.,
1417,2007,Children under 15,KY,812,.,.,
1418,2007,Children under 15,LA,913,.,.,
1419,2007,Children under 15,ME,223,.,.,
1420,2007,Children under 15,MD,"1,115",.,.,
1421,2007,Children under 15,MA,"1,188",.,.,
1422,2007,Children under 15,MI,"2,029",.,.,
1423,2007,Children under 15,MN,"1,029",.,.,
1424,2007,Children under 15,MS,630,.,.,
1425,2007,Children under 15,MO,"1,139",.,.,
1426,2007,Children under 15,MT,178,.,.,
1427,2007,Children under 15,NE,360,.,.,
1428,2007,Children under 15,NV,536,.,.,
1429,2007,Children under 15,NH,238,.,.,
1430,2007,Children under 15,NJ,"1,713",.,.,
1431,2007,Children under 15,NM,407,.,.,
1432,2007,Children under 15,NY,"3,673",.,.,
1433,2007,Children under 15,NC,"1,782",.,.,
1434,2007,Children under 15,ND,117,.,.,
1435,2007,Children under 15,OH,"2,264",.,.,
1436,2007,Children under 15,OK,735,.,.,
1437,2007,Children under 15,OR,707,.,.,
1438,2007,Children under 15,PA,"2,260",.,.,
1439,2007,Children under 15,RI,187,.,.,
1440,2007,Children under 15,SC,849,.,.,
1441,2007,Children under 15,SD,160,.,.,
1442,2007,Children under 15,TN,"1,196",.,.,
1443,2007,Children under 15,TX,"5,482",.,.,
1444,2007,Children under 15,UT,670,.,.,
1445,2007,Children under 15,VT,105,.,.,
1446,2007,Children under 15,VA,"1,491",.,.,
1447,2007,Children under 15,WA,"1,245",.,.,
1448,2007,Children under 15,WV,316,.,.,
1449,2007,Children under 15,WI,"1,062",.,.,
1450,2007,Children under 15,WY,97,.,.,
1451,2007,No high school diploma,Totals,"46,769","27,650","16,923","2,196"
1452,2007,No high school diploma,AL,476,271,26,
1454,2007,No high school diploma,AK,46,28,3,
1455,2007,No high school diploma,AZ,616,416,49,
1456,2007,No high school diploma,AR,318,166,30,
1457,2007,No high school diploma,CA,"3,759","2,680",350,
1458,2007,No high school diploma,CO,364,254,26,
1459,2007,No high school diploma,CT,268,176,15,
1460,2007,No high school diploma,DE,80,46,6,
1461,2007,No high school diploma,DC,50,26,4,
1462,2007,No high school diploma,FL,"1,500","1,045",106,
1463,2007,No high school diploma,GA,879,497,60,
1464,2007,No high school diploma,HI,104,42,4,
1465,2007,No high school diploma,ID,111,80,6,
1466,2007,No high school diploma,IL,"1,052",616,70,
1467,2007,No high school diploma,IN,578,333,67,
1468,2007,No high school diploma,IA,187,152,16,
1469,2007,No high school diploma,KS,180,130,22,
1470,2007,No high school diploma,KY,523,227,40,
1471,2007,No high school diploma,LA,437,241,43,
1472,2007,No high school diploma,ME,123,50,8,
1473,2007,No high school diploma,MD,484,327,32,
1474,2007,No high school diploma,MA,519,279,33,
1475,2007,No high school diploma,MI,795,357,89,
1476,2007,No high school diploma,MN,317,233,39,
1477,2007,No high school diploma,MS,394,178,34,
1478,2007,No high school diploma,MO,539,275,32,
1479,2007,No high school diploma,MT,63,40,3,
1480,2007,No high school diploma,NE,116,89,6,
1481,2007,No high school diploma,NV,206,176,18,
1482,2007,No high school diploma,NH,86,60,12,
1483,2007,No high school diploma,NJ,751,404,64,
1484,2007,No high school diploma,NM,219,124,14,
1485,2007,No high school diploma,NY,"1,985",989,138,
1486,2007,No high school diploma,NC,914,586,73,
1487,2007,No high school diploma,ND,45,32,4,
1488,2007,No high school diploma,OH,"1,003",480,93,
1489,2007,No high school diploma,OK,330,178,36,
1490,2007,No high school diploma,OR,300,191,35,
1491,2007,No high school diploma,PA,"1,208",528,48,
1492,2007,No high school diploma,RI,116,72,8,
1493,2007,No high school diploma,SC,440,272,40,
1494,2007,No high school diploma,SD,53,44,4,
1495,2007,No high school diploma,TN,684,370,54,
1496,2007,No high school diploma,TX,"2,515","1,879",179,
1497,2007,No high school diploma,UT,155,132,19,
1498,2007,No high school diploma,VT,45,28,5,
1499,2007,No high school diploma,VA,627,451,39,
1500,2007,No high school diploma,WA,469,320,32,
1501,2007,No high school diploma,WV,248,73,13,
1502,2007,No high school diploma,WI,341,251,44,
1503,2007,No high school diploma,WY,33,29,4,
1504,2007,High school or equivalent,Totals,"70,266","25,319","42,511","2,436"
1505,2007,High school or equivalent,AL,510,715,26,
1507,2007,High school or equivalent,AK,46,91,9,
1508,2007,High school or equivalent,AZ,540,722,31,
1509,2007,High school or equivalent,AR,235,477,25,
1510,2007,High school or equivalent,CA,"2,374","3,843",260,
